Season,Session,Location,Start Date,End Date,Registration link
2025 Summer Camps,37-25,"New England Sports Center, Marlboro MA",07/07/2025,07/10/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63961844
2025 Summer Camps,38-25,Valley Sports Arena Rink 1,07/07/2025,07/11/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63961944
2025 Summer Camps,96-25,Boss Ice Arena,07/28/2025,07/31/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962044
2025 Summer Camps,47-25,Boss Ice Arena,07/07/2025,07/10/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962144
2025 Summer Camps,54-25,Valley Sports Arena Rink 1,07/14/2025,07/18/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962244
2025 Summer Camps,34-25,"Cairns Arena, S. Burlington VT",06/30/2025,07/03/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962344
2025 Summer Camps,3-25,"McDonald Memorial Center, Eagle River AK",06/09/2025,06/13/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962444
2025 Summer Camps,44-25,"Union Ice Arena, Woodstock VT",07/07/2025,07/11/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962544
2025 Summer Camps,32-25,Valley Sports Arena Rink 2,06/30/2025,07/03/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962744
2025 Summer Camps,71-25,Valley Sports Arena Rink 2,07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962844
2025 Summer Camps,49-25,"Cairns Arena, S. Burlington VT",07/07/2025,07/11/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962944
2025 Summer Camps,140-25,"New England Sports Center, Marlboro MA",08/18/2025,08/21/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963044
2025 Summer Camps,106-25,"New England Sports Center, Marlboro MA",08/04/2025,08/07/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963144
2025 Summer Camps,35-25,Pilgrim Skating Arena,06/30/2025,07/03/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963244
2025 Summer Camps,119-25,"New England Sports Center, Marlboro MA",08/11/2025,08/14/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963344
2025 Summer Camps,138-25,Valley Sports Arena Rink 2,08/18/2025,08/22/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963444
2025 Summer Camps,131-25,Raymond Bourque Arena,08/11/2025,08/15/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963544
2025 Summer Camps,127-25,"South Windsor Arena, South Windsor CT",08/11/2025,08/15/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963644
2025 Summer Camps,41-25,"Community Center, Hyannis MA",07/07/2025,07/11/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963744
2025 Summer Camps,12-25,Patty Ice Arena,06/16/2025,06/20/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963844
2025 Summer Camps,78-25,Raymond Bourque Arena,07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963944
2025 Summer Camps,27-25,"McDonald Memorial Center, Eagle River AK",06/23/2025,06/27/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964044
2025 Summer Camps,20-25,New Jersey Shore Arena,06/23/2025,06/26/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964144
2025 Summer Camps,94-25,Pilgrim Skating Arena,07/28/2025,07/31/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964344
2025 Summer Camps,51-25,The Bog Ice Arena,07/07/2025,07/10/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964444
2025 Summer Camps,82-25,"Union Ice Arena, Woodstock VT",07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964544
2025 Summer Camps,1-25,"North Shore Ice Arena, Northbrook IL",06/09/2025,06/13/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964644
2025 Summer Camps,48-25,Boss Ice Arena,07/07/2025,07/10/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964744
2025 Summer Camps,139-25,"New England Sports Center, Marlboro MA",08/18/2025,08/21/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964844
2025 Summer Camps,74-25,The Bog Ice Arena,07/21/2025,07/24/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965044
2025 Summer Camps,81-25,"Union Ice Arena, Woodstock VT",07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965144
2025 Summer Camps,63-25,"Tri-Town Ice Arena, Hooksett NH",07/14/2025,07/17/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965244
2025 Summer Camps,61-25,Boss Ice Arena,07/14/2025,07/17/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965344
2025 Summer Camps,86-25,Valley Sports Arena Rink 1,07/28/2025,08/01/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965444
2025 Summer Camps,18-25,"New England Sports Center, Marlboro MA",06/23/2025,06/26/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965544
2025 Summer Camps,200-25 Goalie,Summer Goalie,06/09/2025,08/22/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965644
2025 Summer Camps,43-25,"Union Ice Arena, Woodstock VT",07/07/2025,07/11/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965844
2025 Summer Camps,73-25,The Bog Ice Arena,07/21/2025,07/24/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965944
2025 Summer Camps,129-25,NESV,08/11/2025,08/14/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63966044
2025 Summer Camps,136-25,Valley Sports Arena Rink 1,08/18/2025,08/22/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63966144
2025 Summer Camps,56-25,"Chase Arena, Natick MA",07/14/2025,07/18/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63966244
2025 Summer Camps,76-25,Chilled Pond Arena,07/21/2025,07/24/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63966344
2025 Summer Camps,79-25,"McDonald Memorial Center, Eagle River AK",07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63966444
2025 Summer Camps,36-25,"New England Sports Center, Marlboro MA",07/07/2025,07/10/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63966544
2025 Summer Camps,98-25,"Chase Arena, Natick MA",07/28/2025,08/01/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63966644
2025 Summer Camps,10-25,Lakeshore Sports Centre,06/16/2025,06/20/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63966744
2025 Summer Camps,91-25,Raymond Bourque Arena,07/28/2025,08/01/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63966844
2025 Summer Camps,113-25,"Tri-Town Ice Arena, Hooksett NH",08/04/2025,08/07/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63966944
2025 Summer Camps,88-25,Valley Sports Arena Rink 2,07/28/2025,08/01/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63967044
2025 Summer Camps,22-25,NESV,06/23/2025,06/26/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63967144
2025 Summer Camps,101-25,Spartan Arena,07/28/2025,07/31/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63967244
2025 Summer Camps,72-25,Valley Sports Arena Rink 2,07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63967344
2025 Summer Camps,65-25,"Community Center, Hyannis MA",07/14/2025,07/18/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63967544
2025 Summer Camps,33-25,"Roche Arena, West Roxbury MA",06/30/2025,07/03/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63967644
2025 Summer Camps,116-25,Tim Hortons IcePlex,08/04/2025,08/08/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63967744
2025 Summer Camps,60-25,"Cairns Arena, S. Burlington VT",07/14/2025,07/18/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63967844
2025 Summer Camps,24-25,"Union Ice Arena, Woodstock VT",06/23/2025,06/27/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63967944
2025 Summer Camps,103-25,Valley Sports Arena Rink 2,08/04/2025,08/08/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63968044
2025 Summer Camps,6-25,UAA - Seawolf Sports Complex,06/16/2025,06/20/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63968144
2025 Summer Camps,68-24,Pilgrim Skating Arena,07/14/2025,07/17/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63968244
2025 Summer Camps,50-25,"Cairns Arena, S. Burlington VT",07/07/2025,07/11/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63968344
2025 Summer Camps,57-25,"Roche Arena, West Roxbury MA",07/14/2025,07/18/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63968444
2025 Summer Camps,109-25,"Roche Arena, West Roxbury MA",08/04/2025,08/07/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63968544
2025 Summer Camps,42-25,"Community Center, Hyannis MA",07/07/2025,07/11/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63968644
2025 Summer Camps,28-25,"McDonald Memorial Center, Eagle River AK",06/23/2025,06/27/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63968744
2025 Summer Camps,102-25,Valley Sports Arena Rink 1,08/04/2025,08/08/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63968844
2025 Summer Camps,90-25,Hatfield Ice World,07/28/2025,08/01/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63968944
2025 Summer Camps,84-25,"Cairns Arena, S. Burlington VT",07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63969044
2025 Summer Camps,68-25,"South Windsor Arena, South Windsor CT",07/14/2025,07/18/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63969144
2025 Summer Camps,46-25,The Canton Ice House,07/07/2025,07/10/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63969244
2025 Summer Camps,118-25,"New England Sports Center, Marlboro MA",08/11/2025,08/14/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63969344
2025 Summer Camps,25-25,"Chase Arena, Natick MA",06/23/2025,06/27/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63969444
2025 Summer Camps,62-25,Boss Ice Arena,07/14/2025,07/17/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63969544
2025 Summer Camps,11-25,Patty Ice Arena,06/16/2025,06/20/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63969644
2025 Summer Camps,137-25,Valley Sports Arena Rink 2,08/18/2025,08/22/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63969744
2025 Summer Camps,4-25,"McDonald Memorial Center, Eagle River AK",06/09/2025,06/13/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63969844
2025 Summer Camps,93-25,Valley Forum Haverhill,07/28/2025,08/01/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63969944
2025 Summer Camps,83-25,"Cairns Arena, S. Burlington VT",07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63970044
2025 Summer Camps,67-25,"Community Center, Hyannis MA",07/14/2025,07/18/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63970344
2025 Summer Camps,92-25,Valley Forum Haverhill,07/28/2025,08/01/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63970444
2025 Summer Camps,141-24,"Union Ice Arena, Woodstock VT",06/30/2025,07/02/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63970544
2025 Summer Camps,15-25,Canlan Ice Sports: Romeoville IL,06/23/2025,06/27/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63970644
2025 Summer Camps,128-25,NESV,08/11/2025,08/14/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63970744
2025 Summer Camps,130-25,Essex Sports Center,08/11/2025,08/15/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63970844
2025 Summer Camps,69-25,"South Windsor Arena, South Windsor CT",07/14/2025,07/18/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63970944
2025 Summer Camps,107-25,"O'Brien Arena, Woburn MA",08/04/2025,08/08/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63971044
2025 Summer Camps,97-25,Boss Ice Arena,07/28/2025,07/31/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63971144
2025 Summer Camps,58-25,"Roche Arena, West Roxbury MA",07/14/2025,07/18/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63971244
2025 Summer Camps,122-25,Valley Sports Arena Rink 2,08/11/2025,08/15/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63971344
2025 Summer Camps,132-25,Raymond Bourque Arena,08/11/2025,08/15/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63971444
2025 Summer Camps,85-25,Valley Sports Arena Rink 1,07/28/2025,08/01/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63971544
2025 Summer Camps,77-25,Raymond Bourque Arena,07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63971744
2025 Summer Camps,16-25,Canlan Ice Sports: Romeoville IL,06/23/2025,06/27/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63971844
2025 Summer Camps,104-25,Valley Sports Arena Rink 2,08/04/2025,08/08/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63971944
2025 Summer Camps,19-25,New Jersey Shore Arena,06/23/2025,06/26/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63972044
2025 Summer Camps,100-25,Spartan Arena,07/28/2025,07/31/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63972144
2025 Summer Camps,125-25,"Ed Burns Arena, Arlington MA",08/11/2025,08/15/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63972244
2025 Summer Camps,9-25,Lakeshore Sports Centre,06/16/2025,06/20/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63972344
2025 Summer Camps,26-25,"Chase Arena, Natick MA",06/23/2025,06/27/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63972444
2025 Summer Camps,66-25,"Community Center, Hyannis MA",07/14/2025,07/18/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63972544
2025 Summer Camps,87-25,Valley Sports Arena Rink 2,07/28/2025,08/01/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63972644
2025 Summer Camps,121-25,Valley Sports Arena Rink 1,08/11/2025,08/15/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63972744
2025 Summer Camps,17-25,"New England Sports Center, Marlboro MA",06/23/2025,06/26/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63972844
2025 Summer Camps,5-25,UAA - Seawolf Sports Complex,06/16/2025,06/20/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63972944
2025 Summer Camps,112-25,"Tri-Town Ice Arena, Hooksett NH",08/04/2025,08/07/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63973044
2025 Summer Camps,31-25,Valley Sports Arena Rink 2,06/30/2025,07/03/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63973144
2025 Summer Camps,120-25,Valley Sports Arena Rink 1,08/11/2025,08/15/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63973244
2025 Summer Camps,2-25,"North Shore Ice Arena, Northbrook IL",06/09/2025,06/13/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63973344
2025 Summer Camps,126-25,"South Windsor Arena, South Windsor CT",08/11/2025,08/15/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63973544
2025 Summer Camps,117-25,Tim Hortons IcePlex,08/04/2025,08/08/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63973644
2025 Summer Camps,8-25,Addison Ice Arena,06/16/2025,06/20/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63973844
2025 Summer Camps,40-25,"Community Center, Hyannis MA",07/07/2025,07/11/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63973944
2025 Summer Camps,39-25,Valley Sports Arena Rink 1,07/07/2025,07/11/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63974044
2025 Summer Camps,52-25,The Bog Ice Arena,07/07/2025,07/10/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63974144
2025 Summer Camps,70-25,Valley Sports Arena Rink 1,07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63974244
2025 Summer Camps,80-25,"McDonald Memorial Center, Eagle River AK",07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63974344
2025 Summer Camps,55-25,"Chase Arena, Natick MA",07/14/2025,07/18/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63974444
2025 Summer Camps,89-25,Hatfield Ice World,07/28/2025,08/01/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63974544
2025 Summer Camps,64-25,"Tri-Town Ice Arena, Hooksett NH",07/14/2025,07/17/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63974644
2025 Summer Camps,45-25,The Canton Ice House,07/07/2025,07/10/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63974744
2025 Summer Camps,75-25,Chilled Pond Arena,07/21/2025,07/24/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63974844
2025 Summer Camps,95-25,Pilgrim Skating Arena,07/28/2025,07/31/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63974944
2025 Summer Camps,123-25,Valley Sports Arena Rink 2,08/11/2025,08/15/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63975044
2025 Summer Camps,135-25,Valley Sports Arena Rink 1,08/18/2025,08/22/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63975144
2025 Summer Camps,124-25,"Ed Burns Arena, Arlington MA",08/11/2025,08/15/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63975244
2025 Summer Camps,108-25,"Ed Burns Arena, Arlington MA",08/04/2025,08/08/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63975344
2025 Summer Camps,105-25,"New England Sports Center, Marlboro MA",08/04/2025,08/07/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63975544
2025 Summer Camps,53-25,Valley Sports Arena Rink 1,07/14/2025,07/18/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63975644
2025 Summer Camps,7-25,Addison Ice Arena,06/16/2025,06/20/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63975744
2025 Summer Camps,111-25,Steel Ice Center,08/04/2025,08/07/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63975844
2025 Summer Camps,23-25,"Union Ice Arena, Woodstock VT",06/23/2025,06/27/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63975944
2025 Summer Camps,99-25,"Chase Arena, Natick MA",07/28/2025,08/01/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63976044
2025 Summer Camps,21-25,NESV,06/23/2025,06/26/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63976144
2025 Summer Camps,110-25,Steel Ice Center,08/04/2025,08/07/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63976244
2025 Summer Camps,59-25,"Cairns Arena, S. Burlington VT",07/14/2025,07/18/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63976444
2025 Summer Camps,14-25,Maryville University Hockey Center,06/16/2025,06/20/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=64105233
2025 Summer Camps,30-25,Raymond Bourque Arena,06/23/2025,06/27/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=64105433
2025 Summer Camps,133-25,Three Rivers Athletic Complex,08/11/2025,08/15/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=64111343
2025 Summer Camps,114-25,Pirelli Veterans Arena,08/04/2025,08/07/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=64126244
2025 Summer Camps,13-25,Maryville University Hockey Center,06/16/2025,06/20/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=64129239
2025 Summer Camps,115-25,Pirelli Veterans Arena,08/04/2025,08/07/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=64135932
2025 Summer Camps,29-25,Raymond Bourque Arena,06/23/2025,06/27/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=64150434
2025 Summer Camps,142-25,American Heartland Ice Arena,06/23/2025,06/27/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=64167544
2025 Summer Camps,143-25,"Community Center, Hyannis MA",07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=64175739
2025 Summer Camps,141-25,American Heartland Ice Arena,06/23/2025,06/27/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=64192242
2025 Summer Camps,134-25,Three Rivers Athletic Complex,08/11/2025,08/15/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=64229431
2025 Summer Camps,144-25,"Community Center, Hyannis MA",07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=64238246
2025 Summer Camps,145-25,"Community Center, Hyannis MA",07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=64255637
2025 Summer Camps,146-25,Raymond Bourque Arena,07/28/2025,08/01/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=65817341
2025 Summer Camps,148-25,Soldotna Regional Sports Complex,07/29/2025,08/01/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=66137333
2025 Summer Camps,147-25,Soldotna Regional Sports Complex,07/29/2025,08/01/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=66150532
2025 Summer Camps,149-25,Boss Ice Arena,07/21/2025,07/24/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=66362034
2025 Summer Camps,150-25,Boss Ice Arena,07/21/2025,07/24/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=66378038